_epochs=10, n_batch=128, 1/2=64, b/e=28, steps=280
>197, c[0.000,0], d[0.443,0.817], g[1.005]
>198, c[0.000,0], d[0.370,0.933], g[1.265]
>199, c[0.000,0], d[0.446,0.773], g[1.654]
>200, c[0.000,0], d[0.525,0.632], g[1.796]
>201, c[0.000,0], d[0.411,0.870], g[2.993]
>202, c[0.000,0], d[1.600,0.188], g[2.287]
>203, c[0.000,0], d[0.991,0.348], g[1.293]
>204, c[0.000,0], d[0.321,1.150], g[1.636]
>205, c[0.000,0], d[0.729,0.592], g[1.968]
>206, c[0.000,0], d[0.793,0.478], g[1.953]
>207, c[0.000,0], d[0.753,0.531], g[1.504]
>208, c[0.000,0], d[0.591,0.658], g[1.446]
>209, c[0.000,0], d[0.466,0.685], g[1.884]
>210, c[0.000,0], d[0.471,0.638], g[2.151]
>211, c[0.000,0], d[0.442,0.587], g[4.528]
>212, c[0.000,0], d[3.088,0.040], g[1.915]
>213, c[0.000,0], d[0.980,0.436], g[0.995]
>214, c[0.000,0], d[0.500,0.865], g[0.807]
>215, c[0.000,0], d[0.407,0.978], g[0.991]
>216, c[0.000,0], d[0.428,0.869], g[1.293]
>217, c[0.000,0], d[0.452,0.709], g[1.538]
>218, c[0.000,0], d[0.324,0.617], g[1.815]
>219, c[0.000,0], d[0.125,0.753], g[2.671]
>220, c[0.000,0], d[1.403,0.234], g[2.453]
>221, c[0.000,0], d[1.278,0.283], g[1.849]
>222, c[0.000,0], d[0.621,0.512], g[-1.231]
>223, c[0.000,0], d[0.024,0.744], g[2.008]
>224, c[0.000,0], d[0.020,0.399], g[2.528]
>225, c[0.000,0], d[0.013,0.260], g[3.077]
>226, c[0.000,0], d[0.007,0.158], g[3.610]
>227, c[0.000,0], d[0.004,0.096], g[4.099]
>228, c[0.000,0], d[0.002,0.060], g[4.556]
>229, c[0.000,0], d[0.001,0.038], g[4.998]
>230, c[0.000,0], d[0.002,0.025], g[5.385]
>231, c[0.000,0], d[0.001,0.017], g[5.719]
>232, c[0.000,0], d[0.001,0.012], g[6.029]
>233, c[0.000,0], d[0.001,0.009], g[6.310]
>234, c[0.000,0], d[0.001,0.007], g[6.545]
>235, c[0.000,0], d[0.001,0.005], g[6.718]
>236, c[0.000,0], d[0.000,0.005], g[6.833]
>237, c[0.000,0], d[0.000,0.004], g[6.929]
>238, c[0.000,0], d[0.000,0.004], g[7.018]
>239, c[0.000,0], d[0.000,0.003], g[7.104]
>240, c[0.000,0], d[0.001,0.003], g[7.189]
>241, c[0.000,0], d[0.000,0.003], g[7.273]
>242, c[0.000,0], d[0.000,0.003], g[7.356]
>243, c[0.000,0], d[0.000,0.002], g[7.435]
>244, c[0.000,0], d[0.000,0.002], g[7.507]
>245, c[0.000,0], d[0.000,0.002], g[7.560]
>246, c[0.000,0], d[0.000,0.002], g[7.573]
>247, c[0.000,0], d[0.000,0.002], g[7.454]
>248, c[0.000,0], d[0.000,0.007], g[6.815]
>249, c[0.000,0], d[0.000,0.066], g[4.191]
>250, c[0.000,0], d[0.048,0.061], g[4.350]
>251, c[0.000,0], d[0.002,0.046], g[4.577]
>252, c[0.000,0], d[0.003,0.039], g[4.716]
>253, c[0.000,0], d[0.004,0.035], g[4.813]
>254, c[0.000,0], d[0.002,0.034], g[4.874]
>255, c[0.000,0], d[0.001,0.035], g[4.850]
>256, c[0.000,0], d[0.001,0.036], g[4.818]
>257, c[0.000,0], d[0.000,0.040], g[4.817]
>258, c[0.000,0], d[0.001,0.048], g[4.836]
>259, c[0.000,0], d[0.001,0.055], g[4.998]
>260, c[0.000,0], d[0.005,0.055], g[5.177]
>261, c[0.000,0], d[0.029,0.053], g[4.932]
>262, c[0.000,0], d[0.000,6.989], g[6.467]
>263, c[0.000,0], d[5.092,0.005], g[4.205]
>264, c[0.000,0], d[2.943,0.054], g[2.765]
>265, c[0.000,0], d[1.662,0.210], g[1.792]
>266, c[0.000,0], d[0.961,0.482], g[1.219]
>267, c[0.000,0], d[0.647,0.742], g[0.974]
>268, c[0.000,0], d[0.537,0.877], g[0.951]
>269, c[0.000,0], d[0.528,0.890], g[1.041]
>270, c[0.000,0], d[0.566,0.839], g[1.159]
>271, c[0.000,0], d[0.619,0.773], g[1.259]
>272, c[0.000,0], d[0.666,0.721], g[1.323]
>273, c[0.000,0], d[0.698,0.688], g[1.353]
>274, c[0.000,0], d[0.713,0.674], g[1.357]
>275, c[0.000,0], d[0.715,0.672], g[1.347]
>276, c[0.000,0], d[0.709,0.677], g[1.333]
>277, c[0.000,0], d[0.702,0.683], g[1.320]
>278, c[0.000,0], d[0.696,0.690], g[1.312]
>279, c[0.000,0], d[0.692,0.694], g[1.309]
>280, c[0.000,0], d[0.690,0.695], g[1.308]
TEST STARTED .... 
Test Loss: 1.791966 
Test Acc: 0.241833 
